Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 5;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;4;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 1;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;4;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 2;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;4;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 3;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;4;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 4;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;4;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Б;Б;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;10;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Е;Е;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;10;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;А;А;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;10;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;Ж;Ж;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;5;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;В;В;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;15;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 12;БП 12;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;12;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 13;БП 13;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;12;кг;0.12;6.0;0.02;раствор
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 14;БП 14;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;12;кг;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 1;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 2;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 3;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 4;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 5;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 1;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 2;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 3;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 4;Формалин;4;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Б;Б;Формалин;10;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Е;Е;Формалин;10;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;А;А;Формалин;10;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;Ж;Ж;Формалин;5;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;В;В;Формалин;15;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 12;БП 12;Формалин;12;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 13;БП 13;Формалин;12;л;0.12;6.0;0.02;раствор
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 14;БП 14;Формалин;12;л;0.12;6.0;0.02;раствор
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 1;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 2;формалин;4;кг;70.0;1400.0;0.05;средство
