Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано;Подпись колонки нормы
4;Мойка;2;МС;;А;А;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Ж;Ж;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;В;В;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;БП 12;БП 12;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;БП 13;БП 13;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;БП 14;БП 14;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 1;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 2;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 3;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 4;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Г;Г 5;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 1;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 2;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 3;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Д;Д 4;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Б;Б;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;Е;Е;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;А;А;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
